10	5	10
10	15	20
10	25	30
10	35	40
10	45	50
10	55	60
10	65	70
10	75	80
10	85	90
10	95	100
10	105	110
10	115	120
10	125	130
10	135	140
10	145	150
10	155	160
10.1968080000000	165.098400000000	170.196800000000
10.5644840000000	175.479000000000	180.761300000000
11.0599510000000	186.291300000000	191.821200000000
11.6780700000000	197.660300000000	203.499300000000
12.4241330000000	209.711400000000	215.923400000000
13.3096780000000	222.578300000000	229.233100000000
14.3514100000000	236.408800000000	243.584500000000
15.5712590000000	251.370200000000	259.155800000000
16.9967960000000	267.654200000000	276.152600000000
18.6621240000000	285.483600000000	294.814700000000
20.6090230000000	305.119200000000	315.423700000000
22.8885210000000	326.868000000000	338.312200000000
25.5624710000000	351.093400000000	363.874700000000
28.7057500000000	378.227600000000	392.580400000000
32.4083720000000	408.784600000000	424.988800000000
36.7777250000000	443.377700000000	461.766500000000
41.9403080000000	482.736700000000	503.706800000000
48.0422360000000	527.728000000000	551.749100000000
55.2475440000000	579.372900000000	606.996600000000
63.7319190000000	638.862600000000	670.728600000000
73.6694480000000	707.563300000000	744.398000000000
85.2089260000000	787.002400000000	829.606900000000
98.4365820000000	878.825200000000	928.043500000000
113.324658000000	984.705800000000	1041.36820000000
129.671992000000	1106.20410000000	1171.04020000000
147.053438000000	1244.56690000000	1318.09360000000
164.807090000000	1400.49720000000	1482.90080000000
182.091348000000	1573.94640000000	1664.99210000000
198.022344000000	1764.00320000000	1863.01440000000
211.859570000000	1968.94420000000	2074.87400000000
223.165098000000	2186.45650000000	2298.03910000000
231.864941000000	2413.97170000000	2529.90410000000
238.194492000000	2649.00150000000	2768.09860000000
242.572168000000	2889.38480000000	3010.67090000000
245.467793000000	3133.40480000000	3256.13870000000
247.310137000000	3379.79370000000	3503.44870000000
248.443281000000	3627.67040000000	3751.89210000000
249.119746000000	3876.45190000000	4001.01170000000
249.512910000000	4125.76810000000	4250.52440000000
249.735938000000	4375.39210000000	4500.26030000000
249.859609000000	4625.18990000000	4750.11960000000
249.926738000000	4875.08300000000	5000.04640000000
249.962441000000	5125.02730000000	5250.00880000000
249.981094000000	5374.99900000000	5499.98970000000
